Id,SalePrice
2,116986.2793339451
4,261049.48629398775
6,188714.11628508594
7,213538.1267971736
17,191693.2130128413
18,344220.8137857348
22,193218.97558871322
27,121464.23490429565
31,86436.7802346754
36,135701.9378574721
39,381890.4994647419
40,265097.5640291247
42,308020.3533953683
46,243045.39694020886
53,153872.28419711313
58,150992.20810786262
61,309204.89488678233
72,210836.3195930277
79,114987.30088884158
80,211326.44765529447
82,152771.46167172553
83,113361.26248197528
85,160333.91953102982
88,123489.13420145123
92,296188.4374515193
93,293315.62070578925
95,183547.46309463985
102,187618.17206405164
103,168056.67965087533
106,240385.8016143503
107,133196.1511850729
110,226665.21060296043
114,204511.44213027722
116,191631.70925600297
117,151603.87006200367
118,134016.8341216089
125,164820.99348244848
126,153271.94743828764
127,162344.0353591721
128,204340.67987666614
134,125087.87230457996
135,195435.13502053337
137,256678.67469117107
143,135089.3112335331
147,123008.75248810797
148,190674.59490161503
150,114081.30925186271
156,136194.4525411924
157,128275.48261410432
159,158735.74478435246
161,295557.73190786067
167,132028.31040999515
170,149288.62691907294
171,88171.96742663214
175,92449.46272028996
179,112727.22975469926
181,114562.17131910223
186,185594.01208660033
193,215414.3804252348
194,94609.33841980285
206,137235.18216148735
208,147321.60436790108
210,155039.69396271202
211,93383.49879127623
212,106610.29090606613
214,103903.41985519725
215,149849.7177645683
217,84244.3542538382
222,158690.40906770702
227,154682.9048271102
228,163545.76302388895
233,257598.23615401745
235,134689.07662746916
238,137165.88248952493
241,175587.02496277363
252,181679.0816724276
253,184161.82318551975
256,139393.68029271511
257,151049.32246422025
258,188479.0749859036
259,177716.07756318068
261,146132.14837357146
263,125054.25078552292
266,231294.1460427607
267,238398.92709029018
270,129641.32030961715
271,250025.88433163374
276,112690.659640256
285,168812.26468577955
288,98313.76631711263
289,147725.38540393504
290,123181.75566260138
291,152596.2293929809
292,130746.29156759
293,216053.21251482252
294,245058.79080996008
295,177440.65878603322
304,113827.6669144084
322,365731.96450378746
326,168339.53366426824
327,84366.84142103062
328,141305.1990045529
331,78810.85944848096
332,82812.59674930111
333,85296.92119594246
335,132207.93475691235
337,186705.62014482796
342,114101.59860231275
343,181322.50163479385
347,158295.78879084546
350,314497.6404291164
352,215797.61015775602
358,148246.9044157595
359,185306.8356929106
360,159762.43382378996
368,322061.86075694364
369,245276.9902999117
373,184226.5620679253
377,252510.14120152657
383,183522.6540315278
386,230568.16369048948
387,234739.73297254054
390,158716.18658218067
391,158253.05545244986
395,159783.36967932078
397,135103.59754715642
398,114968.49486826826
401,120462.4861624885
404,111417.70054484736
408,102790.25271359281
409,117603.78281121596
410,145283.24591835128
418,91238.24772815758
422,450754.9003225664
427,354672.941625657
431,415275.96664613776
433,507391.1121237831
437,344308.9069021014
438,280553.90403035557
442,352713.5218553562
447,235490.2862991942
459,365510.45479462366
460,271117.88060976553
464,188887.89632440082
465,180066.19156270826
467,176485.15795355182
468,185790.70486560697
474,162620.1422798531
480,203036.43358355406
481,194095.4472482099
483,219131.72734991997
488,180369.09656297564
492,190980.10833104452
494,142266.7731166309
499,334906.38568435644
500,276346.8313632831
501,311877.97116960876
503,249472.35128526643
506,242172.77206459965
508,258900.1306502493
511,276144.98335802753
515,240991.63328463322
519,235408.62175366716
521,265998.8929743235
530,237029.02106020658
532,233556.80637641405
534,180195.2611470834
540,176525.9473322935
541,144753.4767387833
551,140151.77302238328
552,147211.1478517022
554,79693.0797423385
555,135810.51840113572
556,117566.58111252828
557,126332.06325973733
565,225329.12835247375
566,282022.58127073024
567,154548.8414156195
569,213338.37125402296
570,186246.73453949046
574,214698.76787587916
575,318588.2799104959
576,207872.11209659846
577,222826.83305461038
578,235530.06499696337
583,235563.0729301071
584,226653.17927622193
585,154894.5913625375
587,190402.63643399125
593,209158.83546540045
597,206292.37764275083
598,184377.25149084086
599,156002.88390205722
600,116399.54588430315
605,145040.58181043548
607,163609.05071110922
608,164416.88225538447
611,178139.59570689264
616,133577.4422001255
625,175517.38609699678
629,180937.0270885463
630,153770.4031817195
631,125904.52327597473
640,195628.13733828315
642,144505.702829424
643,132150.81256541688
646,113191.51421381182
647,174880.65488912148
655,89223.11804188056
659,99665.42055457937
663,92318.05278967664
665,96693.12529716005
667,210764.9020844927
673,165314.03766367806
676,128577.01174829257
680,161612.88778674492
682,129898.08001218276
687,150172.38187855534
688,154510.83710983366
692,105738.80109640669
693,116997.42705662624
695,152660.7767243209
697,109002.60190124295
700,135963.1672324021
702,138191.97911027653
703,134746.42678776427
704,100917.58639760569
712,71912.51205888754
713,112737.62588261
717,253294.7567739117
720,192101.27895120575
721,70221.39539937547
726,156372.04879094294
733,102313.49421781013
736,130094.27081996835
738,93190.78250247608
741,127676.15212935014
743,73613.50257284271
745,115034.12980728091
750,153495.95937783623
756,101222.96079618532
757,127724.18716842381
758,148952.41612359058
760,95842.52768434389
765,168504.98377051004
775,143958.74316938405
776,137387.82769145933
780,183852.56746257332
783,233227.8837356842
790,132814.80154236453
795,71603.5714556948
796,133001.64483759765
797,164798.19743830568
798,111614.20159011922
804,207593.6830612514
805,237157.06902801862
806,248273.4372959199
808,106999.94321983693
814,184232.43142736275
818,303855.1254149226
821,293218.81566326966
822,341567.3410443311
825,298836.9280411192
827,241858.7237509397
830,199496.08918065645
834,244488.48072923318
835,207656.8716905152
842,140808.9615833999
845,216538.50668360965
852,216205.95619915094
857,112852.9206566551
858,153736.25224317008
859,141606.29689197298
860,125881.87201379176
861,128745.77020578942
864,269939.87933335046
868,196366.13139147268
869,219178.37588201516
872,303528.03383433755
873,215171.57929011266
885,93721.6119515485
890,127676.54430375306
895,100848.69534974909
899,80396.01527380409
906,126161.79191755789
918,129496.88439819483
923,142540.88347057143
925,132824.9599646914
927,144574.71108791247
932,215088.52348597973
933,93284.11417336315
934,128599.21190203151
942,88851.9627186523
947,260494.6525146693
948,271884.8759170814
951,145972.61106841528
957,283174.6009441008
958,321584.16353995336
959,220270.8840831914
963,195354.24952095162
967,217178.56238902715
968,347639.78294544487
971,145229.3559690321
972,156280.4343634385
976,99456.79466606621
978,83650.57947846863
979,99401.51576997053
984,118483.87598049513
986,165825.67371476663
991,210505.84479821517
996,215348.5641331071
1001,259934.87219851738
1007,212138.46064943826
1008,190641.97710887395
1009,200433.48595488208
1014,181951.1851391391
1022,238160.96306782428
1024,185091.93174781898
1027,129997.71706120152
1030,161994.35028380927
1032,162709.49452800828
1035,146504.3456544362
1042,87539.5277250422
1047,124613.00554395339
1050,103054.91342662675
1055,291934.5086951065
1059,412915.34899287176
